timestamp,sensor_torque,sensor_rpm,act_target_torque,act_target_velocity,load_target_torque,load_target_velocity,act_torque,act_vel,act_pos,load_torque,load_vel,load_pos
23:09:38.788,0.0,0,0,0,0,0,15,0,0,0,0,0
23:09:38.798,0.0,0,0,0,0,0,-63,0,0,-47,0,0
23:09:38.808,0.0,0,0,0,0,0,-64,0,0,-57,0,0
23:09:38.819,0.0,0,0,0,0,0,-54,0,0,-32,0,0
23:09:38.829,0.0,0,0,0,0,0,50,0,0,-9,0,0
23:09:38.839,0.0,0,0,0,0,0,17,0,0,-2,0,0
23:09:38.849,0.0,0,0,0,0,0,-9,0,0,-13,0,0
23:09:38.874,0.0,0,0,0,0,0,47,0,0,28,0,0
23:09:38.879,0.0,0,0,0,0,0,0,0,0,-54,0,0
23:09:38.889,0.0,0,0,0,0,0,22,0,0,-4,0,0
23:09:38.899,0.0,0,0,0,0,0,26,0,0,6,0,0
23:09:38.910,0.0,0,0,0,0,0,35,0,0,-1,0,0
23:09:38.920,0.0,0,0,0,0,0,-20,0,0,-11,0,0
23:09:38.930,0.0,0,0,0,0,0,18,0,0,20,0,0
23:09:38.940,0.0,0,0,0,0,0,32,0,0,-56,0,0
23:09:38.950,0.0,0,0,0,0,0,-33,0,0,-40,0,0
23:09:38.960,0.0,0,0,0,0,0,56,0,0,27,0,0
23:09:38.970,0.0,0,0,0,0,0,5,0,0,-1,0,0
23:09:38.980,0.0,0,0,0,0,0,-69,0,0,65,0,0
23:09:38.990,0.0,0,0,0,0,0,-22,0,0,23,0,0
23:09:39.000,0.0,0,0,0,0,0,52,0,0,-6,0,0
23:09:39.011,0.0,0,0,0,0,0,17,0,0,-36,0,0
23:09:39.021,0.0,0,0,0,0,0,31,0,0,37,0,0
23:09:39.031,0.0,0,0,0,0,0,-52,0,0,-26,0,0
23:09:39.041,0.0,0,0,0,0,0,66,0,0,1,0,0
23:09:39.051,0.0,0,0,0,0,0,17,0,0,2,0,0
23:09:39.061,0.0,0,0,0,0,0,-12,0,0,67,0,0
23:09:39.071,0.0,0,0,0,0,0,-40,0,0,7,0,0
23:09:39.081,0.0,0,0,0,0,0,21,0,0,-60,0,0
23:09:39.091,0.0,0,0,0,0,0,-22,0,0,64,0,0
23:09:39.102,0.0,0,0,0,0,0,34,0,0,8,0,0
23:09:39.112,0.0,0,0,0,0,0,6,0,0,26,0,0
23:09:39.122,0.0,0,0,0,0,0,-36,0,0,48,0,0
23:09:39.132,0.0,0,0,0,0,0,-13,0,0,1,0,0
23:09:39.142,0.0,0,0,0,0,0,-66,0,0,33,0,0
23:09:39.152,0.0,0,0,0,0,0,-20,0,0,9,0,0
23:09:39.162,0.0,0,0,0,0,0,-15,0,0,-47,0,0
23:09:39.172,0.0,0,0,0,0,0,18,0,0,-25,0,0
23:09:39.182,0.0,0,0,0,0,0,-68,0,0,41,0,0
23:09:39.193,0.0,0,0,0,0,0,13,0,0,6,0,0
23:09:39.203,0.0,0,0,0,0,0,13,0,0,37,0,0
23:09:39.213,0.0,0,0,0,0,0,30,0,0,-1,0,0
23:09:39.223,0.0,0,0,0,0,0,-1,0,0,1,0,0
23:09:39.233,0.0,0,0,0,0,0,-14,0,0,-30,0,0
23:09:39.243,0.0,0,0,0,0,0,31,0,0,42,0,0
23:09:39.253,0.0,0,0,0,0,0,-40,0,0,-44,0,0
23:09:39.268,0.0,0,0,0,0,0,29,0,0,-25,0,0
23:09:39.279,0.0,0,0,0,0,0,-26,0,0,-17,0,0
23:09:39.289,0.0,0,0,0,0,0,-9,0,0,-10,0,0
23:09:39.299,0.0,0,0,0,0,0,-28,0,0,1,0,0
23:09:39.309,0.0,0,0,0,0,0,54,0,0,-68,0,0
23:09:39.319,0.0,0,0,0,0,0,-13,0,0,-40,0,0
23:09:39.329,0.0,0,0,0,0,0,17,0,0,-34,0,0
23:09:39.339,0.0,0,0,0,0,0,38,0,0,5,0,0
23:09:39.349,0.0,0,0,0,0,0,-52,0,0,-9,0,0
23:09:39.359,0.0,0,0,0,0,0,4,0,0,4,0,0
23:09:39.370,0.0,0,0,0,0,0,30,0,0,14,0,0
23:09:39.385,0.0,0,0,0,0,0,-52,0,0,39,0,0
23:09:39.390,0.0,0,0,0,0,0,67,0,0,19,0,0
23:09:39.400,0.0,0,0,0,0,0,6,0,0,25,0,0
23:09:39.410,0.0,0,0,0,0,0,-63,0,0,29,0,0
23:09:39.420,0.0,0,0,0,0,0,-8,0,0,39,0,0
23:09:39.430,0.0,0,0,0,0,0,19,0,0,-1,0,0
23:09:39.440,0.0,0,0,0,0,0,-43,0,0,11,0,0
23:09:39.451,0.0,0,0,0,0,0,28,0,0,36,0,0
23:09:39.461,0.0,0,0,0,0,0,-95,0,0,25,0,0
23:09:39.471,0.0,0,0,0,0,0,11,0,0,-42,0,0
23:09:39.481,0.0,0,0,0,0,0,-24,0,0,68,0,0
23:09:39.491,0.0,0,0,0,0,0,-5,0,0,-77,0,0
